scenario,true_label,pred_label,count
alpha_3p5,有漂浮物,正常,0
alpha_3p5,正常,乱采,0
alpha_3p5,正常,乱建,0
alpha_3p5,正常,乱堆,0
alpha_3p5,正常,乱占,0
alpha_3p5,正常,有漂浮物,5
alpha_3p5,正常,正常,0
alpha_4,乱采,乱采,0
alpha_4,乱采,乱建,0
alpha_4,乱采,乱堆,4
alpha_4,乱采,乱占,10
alpha_4,乱采,有漂浮物,10
alpha_4,乱采,正常,0
alpha_4,乱建,乱采,0
alpha_4,乱建,乱建,0
alpha_4,乱建,乱堆,0
alpha_4,乱建,乱占,1
alpha_4,乱建,有漂浮物,3
alpha_4,乱建,正常,0
alpha_4,乱堆,乱采,0
alpha_4,乱堆,乱建,0
alpha_4,乱堆,乱堆,13
alpha_4,乱堆,乱占,2
alpha_4,乱堆,有漂浮物,9
alpha_4,乱堆,正常,0
alpha_4,乱占,乱采,0
alpha_4,乱占,乱建,0
alpha_4,乱占,乱堆,1
alpha_4,乱占,乱占,43
alpha_4,乱占,有漂浮物,16
alpha_4,乱占,正常,0
alpha_4,有漂浮物,乱采,0
alpha_4,有漂浮物,乱建,0
alpha_4,有漂浮物,乱堆,7
alpha_4,有漂浮物,乱占,1
alpha_4,有漂浮物,有漂浮物,1014
alpha_4,有漂浮物,正常,0
alpha_4,正常,乱采,0
alpha_4,正常,乱建,0
alpha_4,正常,乱堆,0
alpha_4,正常,乱占,0
alpha_4,正常,有漂浮物,5
alpha_4,正常,正常,0
alpha_5,乱采,乱采,0
alpha_5,乱采,乱建,0
alpha_5,乱采,乱堆,6
alpha_5,乱采,乱占,10
alpha_5,乱采,有漂浮物,8
alpha_5,乱采,正常,0
alpha_5,乱建,乱采,0
alpha_5,乱建,乱建,0
alpha_5,乱建,乱堆,0
alpha_5,乱建,乱占,1
alpha_5,乱建,有漂浮物,3
alpha_5,乱建,正常,0
alpha_5,乱堆,乱采,0
alpha_5,乱堆,乱建,0
alpha_5,乱堆,乱堆,15
alpha_5,乱堆,乱占,2
alpha_5,乱堆,有漂浮物,7
alpha_5,乱堆,正常,0
alpha_5,乱占,乱采,0
alpha_5,乱占,乱建,0
alpha_5,乱占,乱堆,4
alpha_5,乱占,乱占,40
alpha_5,乱占,有漂浮物,16
alpha_5,乱占,正常,0
alpha_5,有漂浮物,乱采,0
alpha_5,有漂浮物,乱建,0
alpha_5,有漂浮物,乱堆,10
alpha_5,有漂浮物,乱占,1
alpha_5,有漂浮物,有漂浮物,1011
alpha_5,有漂浮物,正常,0
alpha_5,正常,乱采,0
alpha_5,正常,乱建,0
alpha_5,正常,乱堆,0
alpha_5,正常,乱占,0
alpha_5,正常,有漂浮物,5
alpha_5,正常,正常,0
alpha_6,乱采,乱采,0
alpha_6,乱采,乱建,0
alpha_6,乱采,乱堆,6
alpha_6,乱采,乱占,10
alpha_6,乱采,有漂浮物,8
alpha_6,乱采,正常,0
alpha_6,乱建,乱采,0
alpha_6,乱建,乱建,0
alpha_6,乱建,乱堆,0
alpha_6,乱建,乱占,1
alpha_6,乱建,有漂浮物,3
alpha_6,乱建,正常,0
alpha_6,乱堆,乱采,0
alpha_6,乱堆,乱建,0
alpha_6,乱堆,乱堆,15
alpha_6,乱堆,乱占,2
alpha_6,乱堆,有漂浮物,7
alpha_6,乱堆,正常,0
alpha_6,乱占,乱采,0
alpha_6,乱占,乱建,0
alpha_6,乱占,乱堆,4
alpha_6,乱占,乱占,40
alpha_6,乱占,有漂浮物,16
alpha_6,乱占,正常,0
alpha_6,有漂浮物,乱采,0
alpha_6,有漂浮物,乱建,0
alpha_6,有漂浮物,乱堆,12
alpha_6,有漂浮物,乱占,1
alpha_6,有漂浮物,有漂浮物,1009
alpha_6,有漂浮物,正常,0
alpha_6,正常,乱采,0
alpha_6,正常,乱建,0
alpha_6,正常,乱堆,0
alpha_6,正常,乱占,0
alpha_6,正常,有漂浮物,5
alpha_6,正常,正常,0
alpha_2p5_margin_0p10,乱采,乱采,0
alpha_2p5_margin_0p10,乱采,乱建,0
alpha_2p5_margin_0p10,乱采,乱堆,3
alpha_2p5_margin_0p10,乱采,乱占,10
alpha_2p5_margin_0p10,乱采,有漂浮物,11
alpha_2p5_margin_0p10,乱采,正常,0
alpha_2p5_margin_0p10,乱建,乱采,0
alpha_2p5_margin_0p10,乱建,乱建,0
alpha_2p5_margin_0p10,乱建,乱堆,0
alpha_2p5_margin_0p10,乱建,乱占,1
alpha_2p5_margin_0p10,乱建,有漂浮物,3
alpha_2p5_margin_0p10,乱建,正常,0
alpha_2p5_margin_0p10,乱堆,乱采,1
alpha_2p5_margin_0p10,乱堆,乱建,0
alpha_2p5_margin_0p10,乱堆,乱堆,12
alpha_2p5_margin_0p10,乱堆,乱占,2
alpha_2p5_margin_0p10,乱堆,有漂浮物,9
alpha_2p5_margin_0p10,乱堆,正常,0
alpha_2p5_margin_0p10,乱占,乱采,0
alpha_2p5_margin_0p10,乱占,乱建,0
alpha_2p5_margin_0p10,乱占,乱堆,0
alpha_2p5_margin_0p10,乱占,乱占,44
alpha_2p5_margin_0p10,乱占,有漂浮物,16
alpha_2p5_margin_0p10,乱占,正常,0
alpha_2p5_margin_0p10,有漂浮物,乱采,0
alpha_2p5_margin_0p10,有漂浮物,乱建,0
alpha_2p5_margin_0p10,有漂浮物,乱堆,1
alpha_2p5_margin_0p10,有漂浮物,乱占,2
alpha_2p5_margin_0p10,有漂浮物,有漂浮物,1019
alpha_2p5_margin_0p10,有漂浮物,正常,0
alpha_2p5_margin_0p10,正常,乱采,0
alpha_2p5_margin_0p10,正常,乱建,0
alpha_2p5_margin_0p10,正常,乱堆,0
alpha_2p5_margin_0p10,正常,乱占,0
alpha_2p5_margin_0p10,正常,有漂浮物,5
alpha_2p5_margin_0p10,正常,正常,0
