filename,champion_pred,new_pred,reviewed_truth,state
00458.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00560.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01002.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00028.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00098.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00611.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01120.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01108.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00783.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00879.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00824.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00081.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01051.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00827.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01071.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00658.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00054.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02113.jpg,乱占,乱占,乱占,correct_both
00085.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00652.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02118.jpg,乱占,乱占,乱占,correct_both
00896.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00219.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02059.jpg,乱占,乱占,乱占,correct_both
01170.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00609.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00831.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01079.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00895.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00517.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01122.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00103.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00147.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00945.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00509.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01135.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00593.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01172.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02043.jpg,乱占,乱占,乱占,correct_both
01098.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00196.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01110.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00581.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00021.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00821.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02090.jpg,乱占,乱占,乱占,correct_both
01128.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00455.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00970.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01184.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01117.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01039.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00735.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01112.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00926.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00740.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00599.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00977.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00782.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00734.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01169.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00017.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01180.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00505.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02076.jpg,乱占,乱占,乱占,correct_both
02047.jpg,乱占,乱占,乱占,correct_both
02078.jpg,乱占,乱占,乱占,correct_both
00146.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02143.jpg,乱占,乱占,乱占,correct_both
00865.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00191.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02070.jpg,乱采,乱采,乱采,correct_both
00933.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00066.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00045.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01229.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01032.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00966.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01131.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00771.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01045.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00199.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00134.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00996.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00595.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00492.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01000.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00512.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02144.jpg,乱占,乱占,乱占,correct_both
00826.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00112.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01141.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00469.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00443.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00608.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00953.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00725.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00547.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00750.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00003.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01084.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01109.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00468.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00174.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00528.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01101.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00172.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00603.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02044.jpg,有漂浮物,有漂浮物,乱占,persistent_error
00535.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00935.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00600.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01199.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00076.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00675.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01195.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00101.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00802.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02132.jpg,乱占,乱占,乱占,correct_both
00584.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00494.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00869.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00529.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00079.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00143.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00087.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01089.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00952.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00984.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00904.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02133.jpg,乱占,乱占,乱占,correct_both
00795.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00657.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01095.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01147.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01153.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00120.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00132.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00446.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02049.jpg,乱占,乱占,乱占,correct_both
00766.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00800.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00791.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00632.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01233.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00515.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01021.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00232.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02061.jpg,乱堆,乱堆,乱堆,correct_both
00231.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02116.jpg,乱占,乱占,乱占,correct_both
00960.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01096.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00929.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00768.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01102.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02071.jpg,乱采,乱采,乱采,correct_both
02124.jpg,乱采,乱采,乱采,correct_both
01150.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00832.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01077.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00853.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01008.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01012.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00133.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00917.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00571.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00939.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01026.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00641.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00225.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01054.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00667.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02121.jpg,乱占,乱占,乱占,correct_both
00000.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00503.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00060.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00197.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00842.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02119.jpg,乱占,乱占,乱占,correct_both
00967.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00700.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00732.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02069.jpg,乱采,乱采,乱采,correct_both
02064.jpg,乱采,乱采,乱采,correct_both
00972.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00797.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00184.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00198.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00805.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00037.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00558.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01020.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00643.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00958.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00683.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00519.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00811.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00672.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01126.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00796.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00602.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00169.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00906.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00095.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00572.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00056.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01211.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00555.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01003.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00116.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00722.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00023.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00834.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00624.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01031.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01013.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01038.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00579.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00052.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02130.jpg,乱占,乱占,乱占,correct_both
00760.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02489.jpg,有漂浮物,有漂浮物,乱建,persistent_error
01210.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01041.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02104.jpg,乱堆,乱堆,乱堆,correct_both
00957.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00539.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00720.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00576.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00204.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00696.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00215.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00031.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00857.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00583.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00084.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00088.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00948.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00089.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01223.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00161.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00033.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00998.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01132.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00701.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00812.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01242.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00899.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01065.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00712.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00016.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02048.jpg,乱占,乱占,乱占,correct_both
00190.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00784.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00040.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00724.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00011.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00688.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01014.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00574.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00757.jpg,乱占,乱占,有漂浮物,persistent_error
00779.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01066.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00178.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00549.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01029.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00737.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01149.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00697.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02106.jpg,乱堆,乱堆,乱堆,correct_both
00212.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00980.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00221.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00086.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00460.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00069.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00708.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00954.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00685.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00022.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00706.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02055.jpg,乱采,乱采,乱采,correct_both
00607.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00727.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02101.jpg,乱堆,乱堆,乱堆,correct_both
00651.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00094.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01226.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00008.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00208.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00798.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00187.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00815.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02083.jpg,乱占,乱占,乱占,correct_both
00217.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00874.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01228.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00228.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02134.jpg,乱占,乱占,乱占,correct_both
00564.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00551.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00654.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00714.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01133.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00653.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01076.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02112.jpg,乱占,乱占,乱占,correct_both
00032.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00453.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02146.jpg,乱占,乱占,乱占,correct_both
00479.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00793.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01157.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01022.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
